objid,u,g,r,i,dered_u,dered_g,dered_r,dered_i,z,camcol,field,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,specobjid,specClass,z,objType,mag_0,mag_1,mag_2
587732050559893542,19.31045,19.088699,19.114294,19.066364,19.252871,19.046333,19.083567,19.043064,2.19967,5,188,19.315685,19.115778,19.13501,19.094067,18.859224,254678355415138304,3,2.19967,1,19.090748,19.07749,19.009033
587732053245558864,19.4501,18.895277,18.794661,18.722054,19.355051,18.82534,18.743937,18.683592,2.20941,2,208,19.439117,18.91547,18.783144,18.715557,18.444386,338277680996679680,3,2.20941,1,19.141441,18.958014,18.877264
587732053771550837,19.765823,19.266142,19.01269,18.835966,19.566965,19.119823,18.906569,18.755497,2.1652,3,42,19.918598,19.424017,19.185387,19.087048,18.756693,241448744069890048,3,2.1652,1,19.496565,19.183441,19.007778
587732053772861507,19.872305,19.516346,19.199678,19.091894,19.704611,19.392958,19.110188,19.024036,2.14237,3,62,19.868559,19.515463,19.193041,19.084806,18.970367,241730227644923904,3,2.14237,1,19.601524,19.300905,19.132195
587732054312091853,19.612391,18.907467,18.839153,18.843649,19.405674,18.755365,18.728838,18.76,2.79536,4,98,19.623075,18.907833,18.860497,18.846355,18.718874,242574659978002432,4,2.79536,1,18.898237,18.870497,18.874138
587732054321594538,22.147556,20.034307,19.83972,19.929047,22.047541,19.960716,19.786346,19.888575,3.07453,4,243,22.142456,20.060329,19.853291,19.90192,20.050404,338559147639308288,4,3.07453,1,20.130535,19.913786,20.111361
587738066195579336,23.825426,22.355457,20.530973,20.022234,23.584455,22.178154,20.402378,19.924725,2.089,2,144,23.44809,22.291166,20.557337,20.036507,19.030813,527150448084254720,3,2.089,1,22.772881,20.76741,20.108715
587738066202132740,26.452681,23.578638,21.48011,19.808254,25.679689,23.00988,21.067598,19.495459,4.71647,2,244,26.264612,23.473375,21.457136,19.808159,19.639812,528843970592112640,3,4.71647,1,25.236542,21.74506,20.082594
587738067263619664,25.64402,25.398027,20.88924,19.230734,25.237499,25.098913,20.672297,19.066233,5.00403,4,57,25.465343,25.45388,20.877323,19.225529,19.198502,525461289133146112,4,5.00403,1,0,20.992008,19.184404
587738067272728680,20.318298,19.872898,19.601913,19.339695,19.441776,19.227962,19.134151,18.985006,2.11067,4,196,20.319492,19.899908,19.627962,19.373493,19.077572,527999457443184640,3,2.11067,1,19.643852,19.355783,19.114719
587725550660354240,19.938187,19.729954,19.452837,19.185959,19.686008,19.544403,19.31826,19.083914,2.007,2,136,19.968498,19.764074,19.490902,19.229542,19.023552,124071834227310592,3,2.007,1,19.836739,19.526548,19.266811
587725551193489432,20.159786,17.810656,17.652346,17.535385,19.915216,17.630703,17.52183,17.436419,3.11127,3,79,20.159588,17.812511,17.659151,17.549599,17.351507,122382984685813760,3,3.11127,1,17.815187,17.667641,17.540377
587727178990288933,18.549503,18.368172,18.197287,18.046638,18.380672,18.243948,18.107189,17.978321,2.08361,3,143,18.544476,18.333212,18.186649,18.023718,17.841343,184308600255021056,3,2.08361,1,18.232044,18.080412,17.970497
587727179005493354,20.836563,20.084667,19.456512,19.075888,20.533768,19.861874,19.294924,18.95336,2.04243,3,375,20.821419,20.109491,19.488972,19.106567,18.878941,128856977781555200,0,2.04243,1,20.055483,19.405375,19.115688
587727179529322601,21.617743,20.079021,19.776443,19.807587,21.376841,19.901768,19.647884,19.710104,3.25362,4,176,21.569965,20.079132,19.780979,19.823156,19.734102,185434501713756160,4,3.25362,1,20.052,19.749115,19.791294
587727180086313076,20.050068,19.502903,19.390308,19.084465,19.579094,19.156364,19.138969,18.893883,2.26681,5,483,20.035036,19.510462,19.39905,19.090042,18.843761,130827334713344000,3,2.26681,1,19.401096,19.333382,19.065994
587727180595200073,21.237965,19.067917,18.461248,18.17642,21.070908,18.944998,18.372097,18.10882,2.21652,6,56,21.200653,19.082569,18.463882,18.159857,18.57081,182621525789114368,0,2.21652,1,25.619297,24.337189,23.507988
587727180596248708,19.692114,19.098774,18.824213,18.796581,19.506092,18.961901,18.724941,18.721306,3.25329,6,72,19.724405,19.12026,18.853596,18.824295,18.654867,182901463649878016,3,3.25329,1,19.181728,18.870541,18.803679
587727180599591005,19.958895,19.301474,19.268072,19.225204,19.775991,19.166895,19.170465,19.151192,2.41643,6,123,19.954905,19.307692,19.265955,19.232363,19.028242,184027122723979264,4,2.41643,1,19.321486,19.295702,19.248264
587727180607651936,20.316921,18.665274,18.497751,18.573071,20.163752,18.552572,18.416012,18.511089,3.01614,6,246,20.346357,18.649216,18.521227,18.591608,18.459806,186841872348479488,4,3.01614,1,18.61792,18.498926,18.578039
587727213342490835,19.287979,19.192137,19.106838,18.981863,19.005484,18.98428,18.956083,18.86755,2.01307,3,28,19.308683,19.186382,19.111027,18.979982,18.874964,178960572157526016,3,2.01307,1,19.260683,19.212442,19.021387
587727229984702538,19.799105,19.224451,19.10778,18.992126,19.639925,19.107328,19.022833,18.927713,2.14355,2,16,19.800224,19.227766,19.109524,18.993914,18.888203,186560404925710336,3,2.14355,1,18.857899,18.80991,18.746058
587727779743793329,22.207893,20.788822,19.996014,19.578394,22.090185,20.702213,19.933197,19.530764,2.379,2,66,22.124413,20.831043,20.042358,19.601465,19.189554,188249318967214080,3,2.379,1,0,20.217409,19.657953
587727873696661626,23.533529,20.615541,19.429771,19.268742,23.361835,20.489212,19.338146,19.199265,3.61616,1,73,23.609118,20.622969,19.446142,19.283964,19.204634,182621525155774464,3,3.61616,1,21.162457,19.687471,19.572205
587727942957662290,19.232176,19.071074,18.767233,18.507399,18.892799,18.821363,18.586123,18.370068,2.04208,2,144,19.206163,19.080996,18.761686,18.509943,18.197399,134487014920683520,3,2.04208,1,19.122343,18.847527,18.609034
587728678465306830,21.979677,19.849485,19.724846,19.61286,21.925186,19.809391,19.695766,19.590811,2.99719,4,60,21.928654,19.849564,19.732416,19.606697,19.581345,168264154119929856,4,2.99719,1,20.009743,19.774303,19.629936
587728679001391117,18.916582,18.999718,18.923817,18.694981,18.849728,18.950527,18.88814,18.667929,2.05115,5,48,18.923033,19.012762,18.921938,18.689615,18.421864,167984015033237504,3,2.05115,1,18.929029,18.773733,18.492155
587731522276163695,19.855581,19.357641,19.204472,19.026279,19.579151,19.154247,19.056953,18.914421,2.18408,5,146,19.849182,19.362211,19.20598,19.037012,18.770353,232722937940017152,3,2.18408,1,19.407135,19.198338,19.05624
587731679573967072,20.95402,19.302917,18.910776,18.721088,20.734638,19.141499,18.793701,18.632315,2.68212,2,64,21.03611,19.365835,18.974863,18.81974,18.546045,298589545727787008,3,2.68212,1,19.358135,18.881109,18.707579
587731679577309717,25.290453,21.868858,20.390745,20.147503,25.009632,21.662233,20.240883,20.033867,3.80496,2,115,25.260134,21.865723,20.375513,20.143763,19.935812,232722936614617088,3,3.80496,1,22.311495,20.482082,20.124844
587731679581896785,18.978626,18.669228,18.548838,18.417572,18.838593,18.566191,18.474108,18.360907,2.1677,2,185,18.993326,18.686312,18.553646,18.408897,18.215538,233848828027994112,3,2.1677,1,18.896778,18.65897,18.505753
587731680120733794,23.023756,20.520428,19.144392,18.925581,22.929407,20.451006,19.094042,18.887402,4.01432,3,215,22.991032,20.520849,19.148699,18.930372,18.824261,234411859690651648,3,4.01432,1,20.617245,19.192682,18.897785
